IdEquipa,NomeEquipa,DataCriacao,IdUtilizadorCapitaoFK
1,Tokyo FC,29/1/2023 00:00:00,19250
2,Jakarta FC,12/1/2025 00:00:00,8751
3,Delhi FC,2/12/2025 00:00:00,18048
4,Manila FC,24/3/2022 00:00:00,1089
5,São Paulo FC,2/11/2025 00:00:00,11583
6,Seoul FC,22/12/2023 00:00:00,601
7,Mumbai FC,23/4/2023 00:00:00,14514
8,Shanghai FC,9/5/2025 00:00:00,17583
9,Mexico City FC,1/9/2024 00:00:00,16102
10,Guangzhou FC,15/5/2023 00:00:00,7159
11,Cairo FC,29/11/2022 00:00:00,19829
12,Beijing FC,29/9/2025 00:00:00,9941
13,New York FC,23/4/2025 00:00:00,7881
14,Kolkata FC,4/8/2022 00:00:00,16514
15,Moscow FC,25/12/2025 00:00:00,666
16,Bangkok FC,20/8/2023 00:00:00,17804
17,Dhaka FC,24/10/2024 00:00:00,2099
18,Buenos Aires FC,12/10/2022 00:00:00,4983
19,Osaka FC,11/6/2022 00:00:00,10494
20,Lagos FC,8/12/2024 00:00:00,15520
21,Istanbul FC,17/12/2023 00:00:00,9104
22,Karachi FC,23/9/2023 00:00:00,13051
23,Kinshasa FC,2/10/2025 00:00:00,2948
24,Shenzhen FC,27/9/2023 00:00:00,11632
25,Bangalore FC,29/11/2022 00:00:00,16681
26,Ho Chi Minh City FC,3/7/2022 00:00:00,13653
27,Tehran FC,20/5/2024 00:00:00,14360
28,Los Angeles FC,25/6/2025 00:00:00,8077
29,Rio de Janeiro FC,3/7/2024 00:00:00,17268
30,Chengdu FC,13/2/2025 00:00:00,1885
31,Baoding FC,29/8/2022 00:00:00,3945
32,Chennai FC,27/2/2023 00:00:00,15405
33,Lahore FC,27/3/2025 00:00:00,11384
34,London FC,7/3/2025 00:00:00,11817
35,Paris FC,9/5/2022 00:00:00,10106
36,Tianjin FC,17/12/2024 00:00:00,18599
37,Linyi FC,8/3/2025 00:00:00,852
38,Shijiazhuang FC,21/9/2022 00:00:00,18582
39,Zhengzhou FC,20/2/2024 00:00:00,18588
40,Nanyang FC,2/5/2025 00:00:00,322
41,Hyderabad FC,10/10/2024 00:00:00,9773
42,Wuhan FC,16/2/2022 00:00:00,8952
43,Handan FC,18/1/2022 00:00:00,19000
44,Nagoya FC,27/10/2022 00:00:00,4545
45,Weifang FC,13/10/2022 00:00:00,3059
46,Lima FC,24/11/2023 00:00:00,18856
47,Zhoukou FC,21/8/2022 00:00:00,13547
48,Luanda FC,30/9/2025 00:00:00,3261
