IdJogoFutebol,IdEquipa1FK,IdEquipa2FK,IDEquipaVencedora,GolosEquipa1,GolosEquipa2,HorarioJogo,Localizacao,Status
12001,1367,3428,,,,31/01/2007,757 Fifth Avenue Apartment 41  New York  NY 10017  United States,Accepted
12003,2683,1128,,,,11/06/2009,694 Bergen St Apartment 3  Brooklyn  NY 11217  United States,Accepted
12008,5974,4210,,,,01/07/2005,Room 8  944 Jiangnan West Road  Haizhu District  Guangzhou  China,Accepted
12012,5308,891,,,,19/11/2000,Unit 5  Oxford Eco Centre  402 Stephenson Street  Birmingham  B2 4BL  United Kingdom,Accepted
12014,1331,1096,,,,24/07/2004,228 Nostrand Ave Apt 11  Brooklyn  NY 11216  United States,Accepted
12015,3316,2901,,,,19/11/2005,631 Wooster Street Apartment 41  New York  NY 10012  United States,Accepted
12017,5235,4448,,,,19/12/2022,Rm. 16  1-7-8 Saidaiji Akodacho  Nara  Japan,Accepted
12022,5342,2201,,,,28/04/2007,Room 35  CR Building  94 Kengmei 15th Alley  Dongguan  China,Accepted
12023,6024,1026,,,,29/07/2000,Unit 13  Oxford Eco Centre  511 Hanover Street  London  W1S 1YD  United Kingdom,Accepted
12027,1318,4656,,,,01/04/2006,Room 4  CR Building  832 Xiaoping E Rd  Baiyun   Guangzhou  China,Accepted
12028,972,1242,,,,24/04/2010,35F  5-4-3 Kikusui 3 Jo  Shiroishi Ward   Sapporo  Japan,Accepted
12032,3521,5252,,,,14/05/2021,33-kai  2-3-18 Yoyogi  Shibuya-ku  Tokyo  Japan,Accepted
12037,285,3082,,,,06/12/2003,6F  73 Yueliu Rd  Fangshan District  Beijing  China,Accepted
12038,778,2403,,,,03/04/2016,21F  251 Jianxiang Rd  Pudong  Shanghai  China,Accepted
12041,841,4546,,,,17/04/2015,37F  664 Kengmei 15th Alley  Dongguan  China,Accepted
12042,2180,147,,,,05/05/2018,Room 6  CR Building  142 Tianbei 1st Rd  Luohu District  Shenzhen  China,Accepted
12045,1824,257,,,,27/10/2011,Block 44  726 New Wakefield St  Manchester  M1 5NP  United Kingdom,Accepted
12049,309,5483,,,,13/09/2002,Room 6  CR Building  238 Jiangnan West Road  Haizhu District  Guangzhou  China,Accepted
12053,5441,2444,,,,01/08/2007,Room 31  692 W Ring Rd  Buji Town  Longgang  Shenzhen  China,Accepted
12060,800,31,,,,01/09/2013,666 Columbia St Apartment 3  Brooklyn  NY 11231  United States,Accepted
12064,5976,3396,,,,19/03/2011,No.15 building  918 Yueliu Rd  Fangshan District  Beijing  China,Accepted
12065,5122,1618,,,,31/10/2019,20F  2-3-4 Yoyogi  Shibuya-ku  Tokyo  Japan,Accepted
12069,4167,638,,,,15/10/2004,Rm. 3  2-1-14 Kaminopporo 1 Jo  Atsubetsu Ward  Sapporo  Japan,Accepted
12071,2522,6220,,,,01/07/2013,11F  662 West Chang'an Avenue  Xicheng District  Beijing  China,Accepted
12074,5022,2272,,,,12/09/2021,574 S Broadway Apt 20  Los Angeles  CA 90015  United States,Accepted
