IdUtilizador1FK,IdUtilizador2FK
19625,5983
18945,5985
994,18892
6021,19144
4991,6759
15270,14345
383,3805
13361,4586
13115,2374
241,14091
18171,7295
11854,12181
12965,3983
15800,2056
1212,19089
12542,18861
6952,1793
5284,9465
17914,6927
16798,3992
5940,8976
13118,3216
257,13106
16052,1301
12038,16975
19513,8536
1336,2013
19802,17670
13381,2945
18806,12352
16670,10319
16257,1387
9273,18630
18021,13417
2147,12468
6494,18484
11230,4057
8401,13235
3129,17374
2733,17558
6741,16162
3427,6274
7834,7443
16724,7039
4397,15078
4524,6390
8734,618
14295,7138
13691,9702
15989,3309
13825,1988
10810,12082
12015,19218
16172,4685
3322,1289
13961,11101
4290,9468
11853,12354
8742,14191
18189,4068
19072,4493
11672,17621
7515,18607
19920,16915
8052,3930
1838,13379
12339,5775
13336,15683
14705,12764
9345,16594
18717,1934
15177,4194
5506,17784
3113,8020
16726,19663
1024,18557
2522,19277
16069,16018
10443,7155
4880,6841
12318,6554
10340,280
9128,13129
8162,2545
1956,19137
7178,6372
15197,18734
14225,14476
3393,8282
4471,3789
6955,10085
803,10987
16006,11206
1252,8233
9995,487
17354,18716
340,19980
5139,11160
9407,10402
12969,19799
2591,5512
17253,5469
7952,6167
15101,9710
19293,19289
7369,18715
14369,8393
16743,4272
19750,6497
12508,19871
7763,8941
2485,11376
11143,13938
487,16531
13134,3078
9628,5157
17778,521
1749,14249
7070,2159
1740,6867
2192,14979
14147,8406
1133,16841
15281,19615
1168,6462
4942,5931
7855,3488
14688,14710
18839,2612
11958,13661
3826,2680
12120,5809
17034,10709
15866,8221
14651,18438
9337,7191
11765,19830
8782,863
13404,3443
5779,17256
4948,10176
12587,12333
9661,3491
12836,2474
16490,15829
10790,18454
2122,2386
9318,10342
4523,5558
347,15772
8075,14668
12871,745
7889,2126
2313,4580
12119,13274
19231,15934
13258,2870
1417,3103
1863,3299
4758,16855
18598,15930
17962,16062
16163,16097
18071,5502
10681,311
19997,3684
17298,15441
19587,1603
11417,18352
4928,3338
5518,5312
8818,9187
7997,18720
1156,8925
15687,12500
17054,9935
15591,9911
5529,5295
12824,17274
8283,8623
16276,12388
7926,2785
2643,18007
4299,39
12937,1398
13397,8941
276,12336
13711,12989
2748,16567
12922,18793
8971,17052
475,7851
3569,12847
18333,17020
7412,587
12652,15112
2823,10064
2556,11961
19208,11189
5985,16145
13414,15373
1271,10796
12560,302
2376,4119
11406,2774
12392,14421
16467,16879
13931,12326
18369,1764
2433,3090
3526,14097
6078,16149
17582,7622
19249,7378
619,8114
11050,14543
13190,12729
19633,16301
11786,10131
6168,13491
12646,15282
1209,4473
9328,13515
304,8559
11972,4279
8393,7234
6877,3935
16421,11439
3397,10614
309,5968
15790,2787
18554,8235
5820,5244
1663,14465
1607,12767
18919,19009
9107,9984
16187,13291
15481,12602
14742,7406
3799,19036
4962,15905
9744,18724
4992,2461
16568,13983
9261,10717
15218,1839
4245,12855
15097,13885
13571,11459
15963,18557
17793,1745
10036,5118
3514,17318
5952,16243
4450,1113
7135,16472
4559,8729
5635,1660
17416,10945
17946,9323
1220,7662
18450,10819
4932,9405
10399,1017
13413,13865
551,8306
15459,3194
17420,12555
8173,19196
8800,6327
19760,1423
5274,1716
1088,6234
2804,18344
16826,8713
8240,6527
15703,14914
6323,4200
16930,3265
15494,12712
1298,6748
11659,17267
13259,19717
16191,18700
7567,10517
19393,8985
10763,8846
8406,3286
4967,2614
6936,19914
15430,5818
19954,18549
13344,12176
14840,14815
14741,4907
5392,16169
17603,132
1491,17375
15179,13096
8911,13619
2739,12874
4657,18571
18371,19092
8122,10416
10279,7366
17621,17659
13081,603
8404,4443
18725,3409
16557,18908
12344,2796
18696,15560
15532,19265
4365,15101
10831,17612
17783,8802
6490,2982
9212,4454
6603,16501
19801,12187
1786,13362
3634,12190
9780,3674
3915,14631
963,13663
3916,3782
10840,9869
17434,9470
9751,8935
3465,14263
16608,16219
10809,16277
1221,10165
14846,8274
5085,9084
3647,1802
5747,17615
4521,19778
7588,16948
6899,12345
992,5578
1295,11554
4878,6221
14116,5014
5343,12462
19942,16188
7456,12816
8295,8530
122,5803
3133,2492
6099,9418
19520,16523
11128,10545
15722,9889
10056,9454
17399,8961
3776,2930
8508,9948
14069,11506
15726,8346
4955,171
7566,8569
7793,18309
4717,3482
17983,3760
5265,13727
2384,9078
17592,11745
6982,18998
8499,9197
7195,18168
470,19828
6175,17962
3238,2589
2242,6687
6290,5421
11004,12108
13948,5168
19708,17421
7596,13888
16353,4931
21,13941
12851,2054
619,15836
6613,6936
1443,11891
6741,15962
17780,19293
4798,14181
17330,6178
3532,9138
5554,12390
18757,19507
3980,16775
3613,11601
17390,17743
16047,19203
15275,11172
9891,3563
10464,15661
16719,19570
8512,8525
13097,15765
16764,5600
173,18261
3358,3829
