IdEquipaFK,IdUtilizadorFK
4379,14380
4235,18898
866,4346
3543,498
3832,11791
3591,19541
2431,7993
3275,18031
1927,14172
3584,17105
5239,11777
3439,12912
2083,1969
4284,3851
4618,19560
5745,7198
3541,10792
4330,7495
3914,13946
4058,6471
5598,277
4446,11492
5926,19729
586,17712
2420,12012
5484,1141
1139,16021
894,547
2378,2028
2018,15628
23,10144
1260,9790
4656,11841
37,12820
3631,8095
5394,11991
5506,10494
167,2414
1447,13408
1979,18983
1528,17934
3918,11415
1393,14415
1654,19845
2871,6782
2333,8678
134,15620
4456,3340
50,13758
5750,11133
4658,16336
497,8168
2977,18295
3700,4474
3519,2560
1559,5378
3460,8108
3756,1339
523,10434
1781,8613
4372,4848
1886,11534
1316,12070
5852,2970
5005,15032
2400,7505
2212,6125
809,7252
329,5686
4282,4110
3930,3538
2224,7684
101,7398
1306,12767
5520,10738
1443,2456
18,2413
5948,1907
5216,8846
2498,3877
5289,8487
258,355
5023,11198
5850,11582
111,12910
5785,1708
5639,16644
5070,4820
3174,15515
3981,8690
628,1170
2577,15308
1945,18975
5918,759
964,9393
2136,2471
2552,6450
4556,4524
978,10501
5056,1937
3211,15258
1501,4699
2344,14484
3148,12143
153,6999
1638,13202
5764,6780
1650,12529
5746,1296
1933,15485
4116,19320
5392,18275
4727,11210
1988,10103
6062,4977
5598,2261
4299,582
1746,13744
69,14202
2871,17696
368,5996
5859,17089
5248,10227
1671,13246
5398,18383
1141,2585
1699,7450
701,19159
6215,17012
3175,11669
934,11877
3946,5201
559,2685
4772,11088
1701,12380
2289,19703
4674,17722
2835,11601
1514,13065
2468,14682
1532,5943
2050,14727
5928,13297
548,12765
5821,3219
701,17483
1629,4038
3991,4516
515,17683
3160,15003
4933,18405
5107,1987
1909,10703
6040,9310
4343,2765
5592,10793
3168,12641
2649,13933
2317,13158
3075,3615
1601,2292
3412,8281
4606,15868
3080,16997
3139,17477
4833,653
5658,15521
193,2445
2189,7318
4549,6944
4943,6539
1918,11922
3677,16359
4030,8355
1802,10886
24,18005
3983,5701
349,10018
4064,16652
4116,11102
4375,3976
4969,12984
6191,17795
4175,18294
996,12711
2784,18659
6161,16470
3292,13481
4286,11381
2527,3522
2460,12828
613,15948
3192,6873
1911,19794
1074,6528
2705,10968
5600,17146
2600,17115
3994,16599
2764,16540
4203,14236
2842,4958
4534,19151
2563,18940
4626,5461
3447,11846
4681,15844
1616,302
4040,18527
2299,8276
4277,13244
2467,8300
3409,8382
2998,10802
3580,5657
2905,23
5570,15137
2979,6576
5900,16061
4419,8401
764,7514
1308,11571
4718,317
654,4519
2086,2784
3688,11071
5425,18771
1730,17383
4517,15154
5334,9629
5306,17606
93,18172
6218,19200
4241,1148
5953,14261
3187,6887
4103,17073
1797,14982
6177,466
4727,9431
1304,5094
5085,11122
1079,18395
1820,15829
2126,10254
166,18326
6091,9362
6126,808
2653,13148
3868,9402
5544,13228
320,11243
4422,4365
1443,13377
3993,5644
3191,5229
4271,6672
1572,2775
1272,3446
4799,3824
1185,1736
5023,9087
3519,7074
5686,19569
4565,15737
1892,9425
1136,12002
5593,15270
3209,13717
4303,1751
2169,2936
3468,11101
153,17161
59,10066
6039,5336
3287,868
3742,6625
3080,13771
4285,3346
5651,8870
6190,12248
6062,4660
1848,8658
4072,14680
510,16826
594,14369
663,11785
3603,14247
2654,7026
3133,16154
1791,2817
4848,15024
2703,14551
4320,9610
2431,16489
4703,1747
2110,8996
3630,17267
4332,629
3053,7633
2177,12253
979,18046
5751,15380
5267,16442
3768,7125
1620,1629
2955,13371
4897,130
41,19262
5696,6288
5007,9187
2714,12672
4678,11507
4163,8546
4453,5124
3224,9445
5037,17382
401,3659
2137,965
1601,2826
2263,15483
731,11976
3864,1124
1917,3030
514,5920
1334,5749
1328,16673
1268,17133
2921,17045
2468,7662
4814,13180
2292,12707
1258,12823
2329,6917
3129,14333
1339,7290
4992,12945
235,4355
4807,1817
4524,11550
1225,7863
3607,8930
176,16919
3,16081
3306,15153
2621,19784
305,732
5104,13911
6062,12725
4231,11551
4962,4706
3822,16261
5809,830
2943,15023
584,12784
464,19524
2554,11331
2379,109
4455,2321
4704,3790
4240,2842
5925,8563
4454,17872
1513,12741
2306,1716
3304,13786
4435,9275
6012,9491
3180,1577
9,15201
4838,7439
1256,3494
3738,5252
6012,504
1876,15884
5285,11483
4521,19107
6015,14334
809,18955
1070,3201
1453,586
4499,6318
1332,2402
4053,17035
4058,11935
1723,9842
5865,11422
1619,14752
4070,1509
3972,6857
5125,6630
1925,3633
3435,12486
3047,19587
113,10259
4522,11161
3384,2687
760,6975
5538,10267
4887,16845
4010,15320
3330,1429
1879,12520
2554,3788
5616,14608
5213,19780
3103,19153
3208,18692
3524,10767
4529,13153
1142,19494
4963,5959
2156,11359
3561,15116
4784,1295
4877,3785
4937,13259
1793,15010
3739,10620
1761,4091
775,18156
2095,6135
2569,13267
3680,2302
1510,3010
1437,19548
1255,14628
3093,12581
6148,17251
5688,8882
6209,6050
1359,18838
4088,3132
3216,5345
2382,13059
2932,17854
1759,19699
4578,6188
4817,13179
839,1246
3352,11295
5541,3810
673,11285
5233,18393
824,3548
5312,17670
1911,10037
4592,6210
2576,13312
4522,5777
2988,8195
550,5596
586,9163
2100,11282
5082,6723
1536,13013
92,19171
1736,12334
4100,10200
5916,10645
3838,441
1187,611
3133,10641
4244,13787
3297,12403
4461,6966
1433,631
6215,5025
5252,6694
221,17474
5595,1582
6183,7209
710,5136
247,2565
6092,10314
4738,5396
5694,5233
1150,19313
330,4469
449,7641
3795,12846
1096,11156
2924,4530
2302,6475
3507,19404
929,18769
3471,14530
4091,6284
3264,19738
4225,16330
1631,8929
3235,7519
3071,8486
5455,3160
4375,13401
2485,16395
556,17374
4294,12474
1111,5214
5148,7561
4853,11498
1900,12199
3268,18302
2804,4213
3210,13176
5544,18811
3927,12852
276,18922
2320,1828
5816,4151
4075,9228
3351,12962
1515,8968
5818,12320
5480,5235
2279,649
922,1357
4983,13838
6149,11253
6122,8031
6203,4305
6017,15561
1644,16774
15,16719
1335,14869
5391,15804
1416,19987
3229,12131
5445,4180
1705,9852
976,11085
4045,19982
6128,1390
3634,16333
2151,3850
3452,3730
2528,18836
4083,9703
3859,2096
787,6515
5758,14445
1909,1467
1353,12167
1057,7309
1443,16894
2719,2188
4560,8224
2817,16455
634,1822
2902,16818
2601,318
2402,19687
2123,18217
558,15170
4262,16506
1153,12074
562,6609
1493,8796
2752,1261
54,6104
2791,16907
5698,8329
254,7630
1551,18284
2167,15080
5066,4105
1947,5142
4011,68
3562,8630
5605,15858
3741,8124
549,12631
1563,10086
3596,5755
947,17668
2291,13233
2099,14277
4161,16040
5234,12420
4157,14155
1246,13957
2397,14149
2789,18829
5788,14525
1666,221
2941,18067
5430,18119
6198,16437
1440,1328
749,8042
2363,46
2482,6997
194,17871
4848,18160
6120,12845
263,12809
2620,2099
4966,12717
1463,8742
5855,13555
4138,13115
1870,16296
2811,11199
732,14039
5786,16604
6018,4742
4898,8162
4657,1325
3773,510
4103,8661
4471,3557
1691,1902
489,19318
3832,16612
538,10277
701,5682
748,5132
5518,12906
5525,2473
3083,16399
5341,335
3549,14898
4049,12204
1181,5779
5000,12102
2339,17634
3000,14578
3626,17494
2064,7902
3138,3622
1554,9157
2572,18547
4547,6269
702,19716
513,966
5603,8825
5655,8267
4486,18627
2283,19563
389,14699
3503,3895
1491,11845
6149,3585
3872,18264
4064,10141
226,17167
962,17325
814,19426
2234,16867
2535,1773
159,13284
1957,4835
5599,13012
5120,18055
1791,3874
598,14523
1784,12562
5820,6982
4904,17503
1616,17408
1001,11168
2846,12330
6190,2186
3873,15992
755,621
4093,7879
3837,12688
730,17605
1111,14719
4964,8089
2703,9119
901,5606
129,19760
1634,19669
139,9938
4789,8484
4939,17302
4535,19557
1318,5841
4138,4634
1721,19816
4845,4183
1010,4619
5611,6622
2830,7299
179,17919
1923,8727
2241,1319
5647,9531
1485,6774
4530,18080
1563,684
3085,4563
1990,9117
4527,12372
1050,9577
3715,13561
1017,6364
4660,1067
2305,10615
2322,19825
1986,300
780,8562
4590,3058
2591,8872
235,13168
5496,992
4250,913
3809,9835
4509,8480
4720,6987
5171,3278
3077,4079
3201,72
5452,4201
5750,11917
4754,4702
851,13955
3843,6299
2555,9780
2642,19259
4859,9628
605,10057
2881,11370
2536,12338
2539,2125
3002,5146
4768,7970
5705,421
4776,2084
3266,14184
5510,19562
6007,12815
63,5231
3359,11252
4260,19654
6111,3927
5970,2226
5141,6507
2278,1230
5898,5615
3135,1536
2652,8177
3439,15537
