IdLog,IdLogTypeFK,IdUtilizadorFK,DataHorario
1,11,14437,9/8/2023 16:03:00
2,1,8704,20/6/2022 04:10:33
3,9,4571,30/4/2025 02:53:09
4,10,12047,2/4/2023 06:46:51
5,4,17502,22/9/2023 23:31:16
6,6,5945,26/5/2024 20:48:50
7,8,10205,13/7/2022 13:23:48
8,2,624,28/5/2022 19:46:59
9,6,18041,2/7/2023 03:45:38
10,3,17533,11/4/2024 21:23:28
11,3,14611,25/12/2024 06:16:55
12,6,17224,16/4/2023 15:20:44
13,6,8775,17/1/2025 12:22:55
14,1,4538,20/4/2023 22:36:14
15,9,4557,16/4/2022 22:59:29
16,4,12046,9/4/2022 16:18:03
17,5,9579,15/4/2025 03:50:42
18,2,8461,8/9/2024 08:32:30
19,9,19288,6/1/2023 14:56:34
20,10,4690,29/9/2022 22:38:23
21,11,18653,17/8/2025 21:25:41
22,7,18240,17/6/2022 03:49:37
23,10,7232,11/2/2022 03:07:56
24,10,15548,21/4/2024 06:47:30
25,2,2506,10/12/2023 01:30:55
26,4,7582,10/4/2024 16:11:00
27,2,16179,25/12/2024 01:44:09
28,6,1910,11/6/2022 19:22:31
29,1,9806,12/11/2025 15:50:35
30,2,16902,27/10/2024 10:14:23
31,5,13444,20/5/2022 21:57:29
32,4,19963,27/11/2023 16:01:24
33,8,4776,28/7/2025 23:30:03
34,9,295,4/2/2025 04:01:52
35,5,2685,6/7/2025 22:39:36
36,6,389,25/2/2024 00:22:59
37,4,14495,29/8/2022 19:01:29
38,4,11411,19/5/2024 09:34:58
39,9,12702,19/1/2025 20:50:33
40,6,12982,8/1/2025 10:15:25
41,3,19059,17/10/2022 11:48:14
42,8,17490,3/6/2022 04:53:03
43,8,11684,10/8/2023 19:42:43
44,9,13941,15/9/2022 16:08:42
45,11,1981,5/2/2023 03:40:17
46,7,6662,28/11/2022 06:47:00
47,11,11901,20/7/2024 06:57:07
48,9,9771,24/7/2022 00:56:37
49,1,17730,16/9/2025 05:37:13
50,4,4164,7/8/2023 18:29:14
51,11,16228,18/9/2023 04:00:10
52,10,8911,13/9/2024 22:41:17
53,7,9481,26/8/2024 13:19:50
54,2,7864,20/10/2022 21:08:26
55,7,12241,9/4/2024 00:27:19
56,9,1672,30/1/2025 01:45:56
57,4,15973,21/7/2023 05:48:25
58,5,6038,22/11/2025 00:40:06
59,2,14965,22/6/2025 02:20:43
60,2,15387,22/2/2023 23:00:04
61,9,14884,20/1/2025 10:08:24
62,7,1861,29/9/2024 23:15:50
63,10,10676,20/4/2022 15:04:17
64,10,15455,16/9/2024 06:11:41
65,4,8186,6/6/2023 14:58:56
66,5,6836,25/4/2024 10:42:55
67,11,9273,6/10/2023 15:15:37
68,3,12775,8/7/2025 04:27:49
69,5,3306,18/5/2022 09:39:10
70,3,11670,9/7/2024 19:30:32
71,2,7506,20/8/2023 09:57:07
72,6,9171,22/3/2024 22:39:54
73,1,7098,24/7/2025 08:09:25
74,4,19572,2/8/2022 16:05:23
75,10,7744,25/11/2022 08:14:35
76,8,15184,9/7/2023 14:04:13
77,11,10701,17/4/2023 17:22:55
78,1,15804,14/2/2023 04:52:46
79,10,10325,2/6/2023 06:27:55
80,6,18431,4/3/2023 18:54:41
81,11,9665,17/5/2025 21:36:38
82,2,10806,29/7/2025 13:09:00
83,2,275,9/5/2024 20:40:58
84,11,18068,25/7/2025 11:31:50
85,6,8142,23/7/2025 12:35:56
86,5,175,6/9/2022 14:46:02
87,1,7330,25/2/2022 19:33:23
88,10,3008,1/9/2024 12:29:49
89,7,4514,3/10/2024 03:10:18
90,10,8573,18/9/2022 00:10:38
91,6,1267,19/10/2022 11:21:41
92,10,16658,27/9/2024 15:35:09
93,10,7440,9/1/2023 12:36:31
94,9,7818,2/12/2025 14:42:48
95,3,17261,5/4/2025 06:25:17
96,11,16714,8/8/2024 10:49:39
97,3,16205,28/2/2024 20:42:07
98,1,6297,28/4/2022 13:24:59
99,3,5980,25/10/2025 08:00:16
100,8,13121,22/6/2024 12:50:00
101,8,10447,10/7/2022 17:11:20
102,11,14301,18/6/2023 20:55:59
103,10,6549,9/11/2025 23:01:03
104,11,6988,16/7/2023 07:02:59
105,6,16651,1/4/2022 02:57:33
106,2,18708,9/7/2025 14:05:41
107,7,1930,6/12/2024 23:35:57
108,4,14702,24/9/2025 14:22:44
109,4,2224,11/9/2023 19:45:40
110,5,10668,11/9/2022 20:23:57
111,10,12862,18/5/2023 18:38:25
112,2,15740,21/9/2022 20:37:37
113,1,1466,12/2/2024 14:21:52
114,5,19657,18/4/2024 00:28:42
115,5,8132,13/6/2024 10:21:53
116,8,6374,4/10/2025 02:56:04
117,4,17910,5/4/2023 13:59:09
118,3,6754,11/11/2022 19:15:34
119,2,12734,20/11/2022 17:55:26
120,9,17167,4/10/2022 10:03:13
121,11,5403,8/2/2023 20:52:12
122,10,8765,31/7/2024 09:47:17
123,4,14321,29/3/2023 08:52:54
124,3,4471,12/4/2025 12:06:18
125,8,10486,14/1/2022 23:40:53
126,5,19845,20/2/2025 04:29:25
127,9,19957,14/10/2025 08:12:15
128,10,19160,9/6/2022 08:41:28
129,8,899,7/5/2024 21:46:15
130,2,7069,14/7/2022 16:41:45
131,10,12994,9/11/2024 21:52:48
132,3,7459,27/6/2024 02:01:35
133,2,5202,18/4/2025 09:11:19
134,3,3691,11/3/2023 05:09:26
135,4,18618,2/3/2023 10:56:46
136,6,10057,21/8/2025 12:04:02
137,5,17239,3/8/2023 04:22:31
138,10,2232,21/6/2025 13:03:51
139,10,9469,5/6/2025 22:34:05
140,1,4116,14/5/2024 13:53:18
141,4,6351,13/1/2023 03:51:31
142,8,10555,21/11/2025 03:24:13
143,4,19893,19/4/2024 04:16:16
144,4,12951,10/10/2025 04:25:50
145,10,105,25/1/2022 09:37:25
146,5,469,4/9/2023 01:31:07
147,6,13559,7/2/2024 12:04:15
148,6,16221,30/4/2022 16:23:58
149,4,11354,12/12/2022 02:31:07
150,10,4146,19/8/2024 15:54:46
151,5,4421,5/4/2024 15:04:29
152,8,12398,1/9/2023 21:56:36
153,6,19183,22/7/2023 02:26:26
154,6,17847,18/4/2022 20:00:23
155,2,8471,13/5/2023 12:17:02
156,6,8476,8/10/2024 04:39:42
157,5,1837,24/5/2024 17:35:17
158,9,11538,3/8/2022 10:29:48
159,1,13302,23/7/2022 21:42:01
160,6,9324,6/5/2025 21:30:04
161,10,18757,28/10/2024 07:16:50
162,6,1671,21/9/2025 00:43:04
163,8,19082,26/5/2025 01:34:06
164,2,8801,24/7/2024 22:24:07
165,1,18137,8/10/2023 17:59:33
166,1,19104,19/9/2023 09:38:38
167,7,13078,11/12/2025 19:26:11
168,5,18992,8/6/2022 14:15:58
169,6,18878,15/11/2024 17:27:25
170,8,4806,25/8/2024 13:18:41
171,1,11557,30/7/2022 20:17:32
172,1,9635,20/5/2025 16:38:27
173,2,7141,25/2/2022 06:04:00
174,7,887,25/9/2025 00:05:59
175,7,2702,26/2/2022 17:19:45
176,8,8496,28/7/2023 15:34:49
177,7,3921,9/9/2023 20:57:08
178,11,11044,1/1/2024 09:20:56
179,5,4441,15/1/2022 03:00:37
180,6,16419,5/4/2023 00:00:23
181,7,2494,26/12/2022 23:55:37
182,4,14149,15/1/2025 00:47:03
183,4,7308,19/4/2024 04:05:20
184,4,3921,10/11/2023 05:28:11
185,3,15907,25/9/2023 18:46:08
186,4,10833,8/10/2022 11:56:29
187,8,680,24/10/2023 12:37:00
188,1,15970,7/11/2023 11:22:58
189,9,17240,29/5/2025 14:32:23
190,2,6554,1/10/2024 11:09:26
191,11,8681,28/4/2024 08:35:23
192,11,3153,23/1/2022 19:10:58
193,9,1471,13/8/2024 01:31:57
194,8,19556,11/6/2022 17:49:38
195,7,5706,6/12/2022 18:11:34
196,8,17310,24/9/2025 00:58:35
197,10,18385,15/2/2025 01:17:14
198,2,11712,24/3/2023 22:06:00
199,3,16657,31/10/2024 02:56:39
200,11,17932,30/7/2025 03:06:52
201,6,3949,23/11/2025 06:23:25
202,2,15487,2/7/2025 21:37:52
203,1,3222,19/4/2025 02:34:13
204,1,12028,20/6/2023 16:02:45
205,2,15376,11/5/2023 16:15:57
206,4,3224,28/10/2022 09:07:18
207,4,12513,24/3/2024 23:42:21
208,8,19067,11/11/2025 22:56:36
209,1,4247,26/9/2024 21:38:06
210,8,13663,10/4/2025 09:15:08
211,1,4655,17/4/2022 23:44:07
212,2,6566,15/5/2022 09:12:58
213,4,8869,21/6/2022 10:01:22
214,8,17635,17/6/2024 22:47:49
215,8,2910,12/11/2024 03:28:37
216,7,5495,24/3/2025 22:44:50
217,11,2504,13/6/2023 12:02:20
218,5,493,16/12/2022 10:22:45
219,4,11998,29/5/2024 01:21:42
220,9,19991,27/6/2022 13:12:57
221,10,7983,26/11/2024 03:21:49
222,6,10946,16/11/2022 06:32:10
223,4,6362,15/10/2022 19:24:13
224,6,15114,13/11/2022 07:25:25
225,1,6931,31/3/2023 14:02:24
226,8,3209,4/4/2023 03:01:44
227,4,10520,23/1/2024 09:27:00
228,4,5549,2/9/2023 21:17:39
229,3,476,22/4/2025 14:56:48
230,9,4934,19/2/2023 18:36:56
231,3,7486,3/1/2025 06:11:04
232,7,11232,4/8/2022 01:25:34
233,3,14270,6/2/2022 12:53:47
234,2,2912,16/8/2022 18:04:21
235,8,2941,3/1/2023 15:51:30
236,7,14174,22/10/2023 08:32:29
237,11,18025,26/7/2022 19:51:13
238,6,19449,31/3/2024 17:31:23
239,4,9162,30/6/2022 17:18:10
240,3,4957,31/3/2023 17:53:44
241,2,400,11/5/2024 19:03:31
242,10,4589,30/10/2022 10:34:41
243,2,8882,12/2/2023 06:07:32
244,8,68,13/1/2025 11:21:19
245,6,10274,19/9/2025 03:31:36
246,5,9480,27/4/2022 01:45:33
247,6,14017,22/5/2024 15:25:47
248,4,1582,20/4/2022 04:47:21
249,9,6641,28/6/2024 14:36:48
250,4,3484,21/6/2025 08:27:17
251,4,9542,22/5/2022 22:29:24
252,3,11676,7/10/2022 13:38:59
253,8,15823,2/10/2024 15:24:13
254,8,5415,11/8/2023 01:05:05
255,9,10278,24/2/2023 08:12:40
256,1,11521,22/8/2022 11:07:53
257,2,12397,7/7/2023 13:22:53
258,3,19479,23/4/2023 10:23:21
259,2,9301,7/6/2024 17:18:41
260,7,6410,1/9/2023 09:16:07
261,1,12787,14/6/2022 10:47:42
262,3,1758,17/8/2024 07:57:12
263,9,1611,23/5/2022 18:43:34
264,7,9361,7/12/2024 10:36:38
265,1,627,28/9/2023 20:01:26
266,2,5148,25/5/2022 12:58:05
267,11,16854,31/1/2025 13:34:42
268,2,12625,20/6/2022 17:18:29
269,9,221,26/5/2022 13:22:11
270,3,14581,14/8/2025 16:54:53
271,4,7694,6/8/2025 10:02:51
272,10,13257,4/5/2022 08:53:08
273,5,19594,11/4/2024 18:54:39
274,2,9680,6/4/2025 01:43:55
275,8,16960,25/4/2025 14:03:46
276,8,9949,8/11/2024 07:52:28
277,5,3023,27/5/2022 00:55:52
278,11,11544,22/5/2025 13:41:39
279,1,7598,29/1/2022 07:15:07
280,1,17760,23/2/2022 16:06:16
281,3,2624,18/1/2025 21:14:42
282,11,6687,19/9/2025 00:21:59
283,4,2245,24/12/2024 06:47:12
284,11,6333,11/5/2025 01:49:57
285,6,416,20/6/2022 03:55:51
286,8,15635,28/6/2025 07:35:19
287,11,11115,23/3/2025 17:22:37
288,4,10552,8/9/2022 11:42:50
289,10,12227,1/11/2023 03:45:57
290,7,17755,5/10/2022 00:26:20
291,11,15045,14/11/2025 23:38:12
292,2,16080,3/6/2023 00:43:02
293,1,10887,25/1/2022 12:01:30
294,3,15665,12/12/2024 10:36:59
295,5,16864,13/12/2023 20:35:59
296,2,12508,16/4/2023 22:12:30
297,4,13104,15/4/2023 05:51:19
298,4,2308,12/3/2022 09:13:10
299,9,19884,18/10/2025 05:41:40
300,7,9276,23/7/2022 14:27:37
301,3,15691,10/1/2024 23:46:38
302,2,13836,29/8/2022 02:16:42
303,2,6966,16/8/2025 00:49:47
304,10,10010,24/5/2024 08:16:04
305,10,10082,3/5/2022 23:57:01
306,5,5628,29/12/2023 15:02:19
307,6,12221,6/1/2023 22:27:32
