1;Tokyo FC;07/12/2023;46495;|Tokyo FC
2;Jakarta FC;07/02/2022;29223;|Jakarta FC
3;Delhi FC;02/01/2023;31753;|Delhi FC
4;Manila FC;31/03/2024;144493;|Manila FC
5;São Paulo FC;29/01/2025;134940;|São Paulo FC
6;Seoul FC;27/02/2024;39026;|Seoul FC
7;Mumbai FC;09/01/2023;113552;|Mumbai FC
8;Shanghai FC;13/04/2022;56338;|Shanghai FC
9;Mexico City FC;02/05/2023;35901;|Mexico City FC
10;Guangzhou FC;12/02/2022;79931;|Guangzhou FC
11;Cairo FC;25/06/2022;110087;|Cairo FC
12;Beijing FC;16/07/2025;2346;|Beijing FC
13;New York FC;15/06/2022;104260;|New York FC
14;Kolk?ta FC;27/02/2024;133133;|Kolk?ta FC
15;Moscow FC;07/02/2023;56477;|Moscow FC
16;Bangkok FC;21/12/2023;143213;|Bangkok FC
17;Dhaka FC;12/01/2023;17209;|Dhaka FC
18;Buenos Aires FC;19/04/2022;28115;|Buenos Aires FC
19;?saka FC;04/07/2024;127823;|?saka FC
20;Lagos FC;08/08/2022;128738;|Lagos FC
21;Istanbul FC;10/01/2022;70451;|Istanbul FC
22;Karachi FC;27/10/2024;92251;|Karachi FC
23;Kinshasa FC;19/02/2022;30063;|Kinshasa FC
24;Shenzhen FC;06/10/2024;98054;|Shenzhen FC
25;Bangalore FC;18/11/2025;75487;|Bangalore FC
26;Ho Chi Minh City FC;09/08/2022;32204;|Ho Chi Minh City FC
27;Tehran FC;16/11/2025;139186;|Tehran FC
28;Los Angeles FC;08/07/2022;71536;|Los Angeles FC
29;Rio de Janeiro FC;15/10/2025;58304;|Rio de Janeiro FC
30;Chengdu FC;12/12/2025;101404;|Chengdu FC
31;Baoding FC;12/06/2022;82380;|Baoding FC
32;Chennai FC;08/02/2023;110259;|Chennai FC
33;Lahore FC;21/09/2024;96626;|Lahore FC
34;London FC;19/09/2025;47006;|London FC
35;Paris FC;13/06/2025;51078;|Paris FC
36;Tianjin FC;08/05/2024;5128;|Tianjin FC
37;Linyi FC;06/01/2022;45158;|Linyi FC
38;Shijiazhuang FC;23/01/2024;41460;|Shijiazhuang FC
39;Zhengzhou FC;22/11/2022;55072;|Zhengzhou FC
40;Nanyang FC;20/01/2025;69656;|Nanyang FC
41;Hyder?b?d FC;05/01/2022;139423;|Hyder?b?d FC
42;Wuhan FC;31/05/2022;7871;|Wuhan FC
43;Handan FC;08/03/2024;74991;|Handan FC
44;Nagoya FC;29/01/2025;109989;|Nagoya FC
45;Weifang FC;08/05/2022;118612;|Weifang FC
46;Lima FC;11/01/2024;76733;|Lima FC
47;Zhoukou FC;06/06/2025;18995;|Zhoukou FC
48;Luanda FC;19/08/2024;58340;|Luanda FC
49;Ganzhou FC;03/01/2023;78044;|Ganzhou FC
50;Tongshan FC;09/07/2023;15753;|Tongshan FC
51;Kuala Lumpur FC;10/10/2023;96468;|Kuala Lumpur FC
52;Chicago FC;16/08/2024;104416;|Chicago FC
53;Heze FC;23/12/2025;21004;|Heze FC
54;Chongqing FC;22/02/2023;101170;|Chongqing FC
55;Hanoi FC;20/06/2022;132624;|Hanoi FC
56;Fuyang FC;17/06/2024;58793;|Fuyang FC
57;Changsha FC;12/07/2024;3620;|Changsha FC
58;Dongguan FC;08/02/2025;127807;|Dongguan FC
59;Jining FC;18/07/2025;88842;|Jining FC
60;Jinan FC;14/08/2022;11193;|Jinan FC
61;Pune FC;26/06/2024;112670;|Pune FC
62;Foshan FC;17/08/2022;104598;|Foshan FC
63;Bogotá FC;03/09/2023;142656;|Bogotá FC
64;Ahmedabad FC;16/09/2023;84715;|Ahmedabad FC
65;Nanjing FC;06/07/2025;111978;|Nanjing FC
66;Changchun FC;14/12/2023;58575;|Changchun FC
67;Tangshan FC;27/11/2024;66010;|Tangshan FC
68;Cangzhou FC;28/04/2025;117751;|Cangzhou FC
69;Dar es Salaam FC;21/05/2022;138412;|Dar es Salaam FC
70;Hefei FC;01/09/2023;58091;|Hefei FC
71;Hong Kong FC;27/07/2023;91187;|Hong Kong FC
72;Shaoyang FC;02/02/2024;67997;|Shaoyang FC
73;Zhanjiang FC;04/01/2022;10542;|Zhanjiang FC
74;Shangqiu FC;19/06/2023;121940;|Shangqiu FC
75;Nantong FC;24/08/2025;67241;|Nantong FC
76;Yancheng FC;02/06/2024;84581;|Yancheng FC
77;Nanning FC;23/06/2023;137022;|Nanning FC
78;Hengyang FC;03/05/2025;93546;|Hengyang FC
79;Zhumadian FC;11/04/2024;13219;|Zhumadian FC
80;Shenyang FC;01/01/2022;56388;|Shenyang FC
81;Xingtai FC;14/09/2023;685;|Xingtai FC
82;Xi’an FC;07/05/2023;114759;|Xi’an FC
83;Santiago FC;14/05/2023;18961;|Santiago FC
84;Yantai FC;10/01/2022;110863;|Yantai FC
85;Riyadh FC;29/03/2025;106746;|Riyadh FC
86;Luoyang FC;13/08/2023;20209;|Luoyang FC
87;Kunming FC;20/01/2022;13716;|Kunming FC
88;Shangrao FC;15/03/2025;111504;|Shangrao FC
89;Hangzhou FC;10/11/2023;128119;|Hangzhou FC
90;Bijie FC;05/12/2023;21052;|Bijie FC
91;Quanzhou FC;19/02/2022;116272;|Quanzhou FC
92;Miami FC;04/12/2024;111781;|Miami FC
93;Wuxi FC;03/10/2022;139444;|Wuxi FC
94;Huanggang FC;20/07/2022;67635;|Huanggang FC
95;Maoming FC;09/01/2023;68255;|Maoming FC
96;Nanchong FC;01/04/2025;135572;|Nanchong FC
97;Zunyi FC;20/02/2023;36761;|Zunyi FC
98;Qujing FC;03/06/2025;64961;|Qujing FC
99;Baghdad FC;01/10/2024;107839;|Baghdad FC
100;Xinyang FC;21/06/2022;76708;|Xinyang FC
101;Jieyang FC;12/11/2024;91367;|Jieyang FC
102;Khartoum FC;11/08/2023;73800;|Khartoum FC
103;Madrid FC;17/11/2022;40641;|Madrid FC
104;Allah?b?d FC;11/07/2022;102321;|Allah?b?d FC
105;Yulin FC;01/07/2022;37630;|Yulin FC
106;Changde FC;13/06/2022;3932;|Changde FC
107;Liaocheng FC;08/07/2022;72673;|Liaocheng FC
108;Qingdao FC;13/10/2022;81881;|Qingdao FC
109;Dallas FC;23/01/2024;137966;|Dallas FC
110;Nangandao FC;16/10/2024;19836;|Nangandao FC
111;Xiangyang FC;29/12/2022;116349;|Xiangyang FC
112;Philadelphia FC;26/10/2024;20423;|Philadelphia FC
113;Giza FC;16/10/2025;22824;|Giza FC
114;Lu’an FC;09/11/2023;12004;|Lu’an FC
